Method 8,Y1/PC_05 (X-Variables),Y2/PC_06 (X-Variables),Y4/PC_07 (X-Variables),Y5/PC_06 (X-Variables),Y8/PC_07 (X-Variables)
1,0,0,0,0,0
2,-4.731,-0.316,1.404,-13.19,-3.233
3,-5.635,-0.457,0.0225,-15.096,-6.833
4,-4.752,-0.353,1.373,-9.262,-4.7
5,-3.693,-0.13,3.069,-4.811,-1.484
6,-3.706,-0.12,1.778,-8.64,-3.189
7,-5.492,-0.351,-0.657,-13.218,-11.576
8,-6.159,-0.485,-0.26,-13.195,-6.118
9,-5.629,-0.436,1.372,-14.051,-0.181
10,-5.071,-0.316,2.386,-11.991,-4.033
11,-5.096,-0.337,1.459,-13.056,-1.593
12,-6.482,-0.525,-1.457,-20.877,-8.979
13,-6.534,-0.477,-1.373,-21.387,-17.643
14,-5.893,-0.276,1.412,-17.273,-8.489
15,-6.627,-0.354,1.019,-21.387,-6.854
16,-7.22,-0.469,-1.36,-26.3,-21.803
17,-6.623,-0.379,0.55,-22.018,-14.384
18,-6.325,-0.346,2.652,-18.756,-1.899
19,-6.363,-0.322,1.921,-18.384,-7.934
20,-5.793,-0.215,3.29,-14.075,-0.146
21,-4.604,-0.147,7.091,-3.84,22.983
22,-2.486,0.06391,10.267,9.689,31.55
23,-0.242,0.367,12.034,22.683,38.56
24,1.797,0.574,13.434,32.809,52.49
25,6.126,1.341,20.493,39.623,106.125
26,8.283,1.522,19.992,42.381,105.132
27,6.687,0.948,10.429,33.839,43.977
28,3.878,0.501,2.514,1.115,-0.06737
29,-4.204,-0.521,-13.173,-55.47,-79.076
30,-13.286,-1.726,-25.79,-105.528,-134.03
31,-18.911,-2.598,-28.645,-127.693,-145.885
32,-21.125,-2.788,-24.708,-118.217,-129.8
33,-19.018,-2.43,-13.935,-86.346,-81.087
34,-15.48,-1.908,-5.912,-57.689,-41.061
35,-13.72,-1.599,-6.738,-50.493,-41.531
36,-13.606,-1.608,-13.17,-50.871,-69.099
37,-11.139,-1.145,-13.087,-33.921,-84.046
38,-4.973,-0.185,-3.428,-1.994,-52.774
39,-0.369,0.437,3.422,25.554,-24.606
40,-0.235,0.604,5.341,43.149,-26.38
41,-0.688,0.656,10.342,60.316,-0.488
42,0.838,0.814,20.555,78.201,50.564
43,0.475,0.817,24.643,74.407,66.079
44,-3.766,0.37,16.687,47.437,33.585
45,-6.822,-0.03401,7.223,25.18,4.343
46,-7.805,-0.272,-0.27,8.342,-20.62
47,-8.648,-0.333,-10.702,-14.888,-70.38
48,-8.315,-0.248,-17.129,-31.537,-105.69
49,-7.112,-0.357,-12.369,-32.45,-89.626
50,-8.16,-0.658,-5.334,-30.784,-48.509
51,-12.637,-1.232,-1.909,-37.188,-15.49
52,-15.092,-1.515,2.375,-45.925,21.466
53,-14.908,-1.417,4.131,-50.337,44.079
54,-15.844,-1.449,0.645,-57.318,37.399
55,-18.064,-1.672,-5.368,-80.889,20.311
56,-22.687,-2.305,-18.318,-125.695,-10.428
57,-29.648,-3.244,-32.864,-173.097,-36.945
58,-35.381,-3.783,-41.08,-200.045,-54.967
59,-33.86,-3.296,-33.978,-178.722,-49.095
60,-25.942,-2.293,-13.348,-114.7,-12.429
61,-17.168,-1.388,7.442,-44.021,25.851
62,-9.959,-0.734,20.216,0.528,50.94
63,-6.972,-0.554,19.684,9.107,35.849
