Unnamed: 0,Y1/PC_05 (X-Variables),Y2/PC_06 (X-Variables),Y4/PC_06 (X-Variables),Y5/PC_06 (X-Variables),Y6/PC_09 (X-Variables)
,0.5408/0.3282,0.5402/0.2619,0.6401/0.4009,0.7928/0.6816,0.9060/0.7007
134,7.959,-0.07512,-10.295,-67.254,-0.997
135,40.261,3.185,-9.928,44.19,-1.774
136,55.928,5.589,-7.77,103.399,-2.824
137,62.749,7.36,-4.138,198.85,5.896
138,63.898,7.19,-0.511,278.512,-4.994
139,57.484,6.167,3.836,227.686,-10.69
140,42.726,4.579,6.306,132.613,2.432
141,17.09,1.228,7.267,30.21,4.753
142,8.583,0.242,6.693,-8.054,1.389
143,5.074,0.224,6.309,-18.483,-4.68
144,6.057,0.973,6.287,-31.727,-10.462
145,0.972,0.08253,5.553,-63.937,-9.008
146,-9.897,-1.657,4.423,-73.98,-6.231
147,-11.409,-2.515,3.053,-81.136,-4.069
148,-17.966,-2.935,1.602,-114.774,-2.277
149,-29.471,-3.268,-0.744,-199.886,-15.126
150,0,0,-0.705,0,0
